5000	0.0673577	0.130629	1.2162e-05	
10000	0.263559	0.526625	2.4146e-05	
15000	0.592082	1.17271	3.5558e-05	
20000	1.06394	2.05688	4.7311e-05	
25000	1.59932	3.26541	9.8456e-05	
30000	2.83534	4.76974	7.2236e-05	
35000	3.34404	6.30003	8.2622e-05	
40000	4.30833	8.52164	9.617e-05	
45000	5.5427	11.0907	0.000106238	
50000	6.62608	13.4863	0.000124932	
55000	8.17483	16.719	0.000248021	
60000	9.69711	18.8389	0.000144566	
65000	11.221	22.054	0.00015348	
70000	12.9613	28.3362	0.000168195	
75000	16.6684	34.273	0.000177071	
80000	16.9381	34.5155	0.000229816	
85000	19.0926	37.2857	0.000207024	
90000	21.1028	42.0716	0.000212557	
95000	24.0913	47.9039	0.000224663	
100000	28.553	62.562	0.000236298	
105000	28.4127	58.2402	0.000252663	
110000	32.2996	63.6549	0.000268949	
115000	35.4064	69.1222	0.000306032	
120000	37.0341	74.6254	0.000294545	
125000	41.3078	80.9875	0.000759228	
