5000	0.0324245	0.0653299	7.281e-06	
10000	0.128437	0.259974	1.4436e-05	
15000	0.296193	0.584307	2.1575e-05	
20000	0.513704	1.00103	2.7947e-05	
25000	0.762724	1.5895	3.4903e-05	
30000	1.11559	2.21077	4.0737e-05	
35000	1.47089	3.02769	4.7602e-05	
40000	1.96689	3.95952	5.4306e-05	
45000	2.47166	4.94701	6.1055e-05	
50000	3.04926	6.18141	6.7822e-05	
55000	3.75229	7.57688	7.6687e-05	
60000	4.41147	8.96899	8.1483e-05	
65000	5.26999	10.5552	9.3194e-05	
70000	6.1177	12.228	9.496e-05	
75000	6.88584	13.9678	0.000104545	
80000	8.12243	15.827	0.00010632	
85000	8.9639	17.7705	0.000118466	
90000	9.87041	20.0405	0.000125432	
95000	11.1665	22.2525	0.000128959	
100000	12.3772	23.99	0.000132092	
105000	13.427	27.6778	0.00013878	
110000	14.6818	29.1069	0.000141802	
115000	15.885	31.9773	0.000151948	
120000	16.5803	34.5185	0.000158413	
125000	19.1131	37.927	0.000165015	
