5000000  	1.28159	1.26733	0.371798
10000000  	2.4144	2.64686	0.88913
15000000  	3.48101	3.12561	1.53575
20000000  	4.91212	4.91365	1.90577
25000000  	6.63271	7.22963	2.61396
30000000  	7.49428	6.60679	3.67215
35000000  	9.87558	8.99558	3.44247
40000000  	10.1538	10.9519	3.9936
45000000  	11.7001	12.5811	4.46932
50000000  	14.4018	17.0572	6.19588
55000000  	14.009	11.4765	5.48955
60000000  	14.9218	13.4192	5.65816
65000000  	15.889	14.3196	6.15055
70000000  	18.5144	16.8097	7.17176
75000000  	19.0213	18.7786	7.39044
80000000  	20.7822	21.0382	7.83692
85000000  	23.6139	23.1267	9.11984
90000000  	25.9093	25.7515	9.32877
95000000  	27.8298	28.535	11.4109
100000000  	30.1752	30.915	10.4102
105000000  	25.3352	22.2698	11.0183
110000000  	26.6716	22.6964	10.9248
115000000  	28.2778	24.4814	11.6201
120000000  	29.0945	26.3045	12.2932
125000000  	31.0393	28.3343	12.3744
