5000	0.021
10000	0.08
15000	0.18
20000	0.313
25000	0.533
30000	0.701
35000	0.966
40000	1.272
45000	1.607
50000	1.945
55000	2.344
60000	2.86
65000	3.313
70000	3.882
75000	4.464
80000	5.078
85000	5.745
90000	6.532
95000	7.215
100000	8.052
105000	8.847
110000	9.719
115000	10.674
120000	11.657
125000	12.696
