5000	0.0425151	0.0622688	0.0116888	
10000	0.175281	0.246047	0.0428053	
15000	0.486959	0.554755	0.0962719	
20000	0.995468	1.02655	0.180396	
25000	1.62196	1.62369	0.279922	
30000	2.26417	2.21673	0.385708	
35000	3.13376	3.0629	0.523599	
40000	4.14824	3.94096	0.685474	
45000	5.29867	4.9801	0.86564	
50000	6.60282	6.15089	1.06877	
55000	8.00764	7.43878	1.29637	
60000	9.56976	8.8682	1.56448	
65000	11.2924	10.3906	1.81706	
70000	13.1711	12.0516	2.10785	
75000	15.1279	13.8598	2.41036	
80000	17.2574	15.7485	2.76831	
85000	19.5865	17.9453	3.09911	
90000	21.9318	19.9281	3.4652	
95000	24.493	22.2864	3.87809	
100000	27.2905	24.8109	4.29659	
105000	30.0986	28.0562	4.7171	
110000	32.9883	29.9786	5.22329	
115000	36.2543	32.5392	5.66491	
120000	39.4243	37.6109	6.36608	
125000	43.5637	38.8413	6.7893	
