5000	0.0430727	0.0543675	0.0113763	
10000	0.137902	0.213679	0.0428119	
15000	0.397842	0.485541	0.09871	
20000	0.828999	0.858209	0.171148		
25000	1.34369	1.34023	0.267621	
30000	1.99853	1.92736	0.386526	
35000	2.8279	2.74624	0.534089	
40000	3.82557	3.56418	0.691429	
45000	4.90772	4.56164	0.958453	
50000	6.29302	5.55551	1.15589	
55000	7.51085	6.55679	1.33441	
60000	9.0895	8.05677	1.56616		
65000	10.5841	9.56917	1.90617	
70000	12.5842	11.2773	2.25727	
75000	14.2838	12.6524	2.42484	
80000	16.395	14.501	2.88824	
85000	18.824	16.6623	3.10834		
90000	20.8159	18.1491	3.51009	
95000	23.1523	20.513	3.9613	
100000	25.5626	22.2996	4.42306	
105000	28.3236	25.2198	4.78616	
110000	32.0443	28.1172	5.28729	
115000	35.0877	29.4414	5.7637	
120000	38.4165	32.8884	6.30712	
125000	41.8835	34.753	6.82249	

