5000	0.0394778	0.0638237	0.0116946	
10000	0.1631	0.248356	0.0446288	
15000	0.454211	0.550119	0.0962575	
20000	0.866263	0.997553	0.172024	
25000	1.41067	1.53235	0.266949	
30000	2.1423	2.23163	0.395058	
35000	2.95304	3.08227	0.526085	
40000	3.93412	4.18612	0.717593	
45000	5.03048	5.00173	0.864977	
50000	6.06147	6.1628	1.06817	
55000	7.59855	7.80281	1.31087	
60000	9.00045	9.30324	1.59765	
65000	10.7263	10.6237	1.86741	
70000	12.199	12.0049	2.15412	
75000	14.2894	14.0668	2.54758	
80000	16.3639	15.6823	2.73971	
85000	18.3124	17.6973	3.09415	
90000	20.3023	20.5464	3.62782	
95000	23.4633	22.7647	4.0003	
100000	25.9332	25.0904	4.37126	
105000	28.3414	28.3194	4.95453	
110000	31.2285	29.6148	5.24206	
115000	34.2961	33.7355	5.8444	
120000	36.7498	35.3661	6.45919	
125000	39.8595	38.5829	6.92337	
